"",ID,Imagen,Objeto,Filtro,Fecha,Estrella,Brillo,Tamano,Brillo maximo correspondiente,Promedio correspondiente,Max_brillo_fecha,Min_brillo_fecha,Brillo relativo,Error correspondiente
307,308,3045o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,2R,211372.0,9.83,271881.0,159067.0,211372.0,31146.0,0.777443,1.133019
308,309,3046o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,A,105089.0,8.01,919780.0,96066.2,117190.0,93774.0,0.114254,0.243749
310,311,3046o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,C,734319.0,9.14,919780.0,552862.0,824176.0,82244.0,0.798364,1.341984
311,312,3046o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,D,360454.0,9.21,919780.0,115833.0,360454.0,0.0,0.391892,3.111842
312,313,3046o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,2R,132509.0,9.40,919780.0,119994.0,150291.0,103850.0,0.144066,0.387028
313,314,3059o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,A,30657.0,11.58,225751.0,34015.9,41197.0,30657.0,0.135800,0.309855
315,316,3059o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,C,173865.0,11.29,225751.0,178095.0,206952.0,173865.0,0.770163,0.185783
316,317,3059o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,D,0.0,0.00,225751.0,69137.3,219744.0,0.0,0.000000,3.178371
317,318,3059o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,2R,179658.0,11.51,225751.0,159067.0,211372.0,31146.0,0.795824,1.133019
318,319,3060o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,A,117190.0,7.29,1034000.0,96066.2,117190.0,93774.0,0.113337,0.243749
320,321,3060o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,C,82244.0,7.29,1034000.0,552862.0,824176.0,82244.0,0.079540,1.341984
321,322,3060o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,D,0.0,0.00,1034000.0,115833.0,360454.0,0.0,0.000000,3.111842
322,323,3060o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,2R,150268.0,7.42,1034000.0,119994.0,150291.0,103850.0,0.145327,0.387028
323,324,3061o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,A,116804.0,7.34,1034000.0,96066.2,117190.0,93774.0,0.112963,0.243749
325,326,3061o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,C,824176.0,6.86,1034000.0,552862.0,824176.0,82244.0,0.797075,1.341984
326,327,3061o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,D,0.0,0.00,1034000.0,115833.0,360454.0,0.0,0.000000,3.111842
327,328,3061o.fits,PG1633+099,R-Johnson+Vacio,2006-04-26,2R,150291.0,7.29,1034000.0,119994.0,150291.0,103850.0,0.145349,0.387028
328,329,3062o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,A,157220.0,7.03,1363000.0,121004.0,157220.0,133034.0,0.115348,0.199878
330,331,3062o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,C,1133000.0,6.31,1363000.0,855971.0,1133000.0,947712.0,0.831255,0.216465
331,332,3062o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,D,0.0,0.00,1363000.0,96384.8,385539.0,0.0,0.000000,3.999998
332,333,3062o.fits,PG1633+099,I-Johnson+Vacio,2006-04-26,2R,105873.0,7.16,1363000.0,82699.5,105873.0,92319.0,0.077676,0.163895
333,334,3063o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,A,34834.0,10.09,229034.0,34015.9,41197.0,30657.0,0.152091,0.309855
335,336,3063o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,C,174985.0,10.14,229034.0,178095.0,206952.0,173865.0,0.764013,0.185783
336,337,3063o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,D,0.0,0.00,229034.0,69137.3,219744.0,0.0,0.000000,3.178371
337,338,3063o.fits,PG1633+099,B-Johnson+Vacio,2006-04-26,2R,180831.0,10.48,229034.0,159067.0,211372.0,31146.0,0.789538,1.133019
338,339,4043o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,A,38792.0,12.55,254608.0,34015.9,38792.0,25212.0,0.152360,0.399225
340,341,4043o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,C,195928.0,12.57,254608.0,178095.0,195928.0,132736.0,0.769528,0.354822
341,342,4043o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,D,0.0,0.00,254608.0,69137.3,0.0,0.0,0.000000,0.000000
342,343,4043o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,2R,196937.0,13.09,254608.0,159067.0,196937.0,133804.0,0.773491,0.396896
343,344,4044o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,A,25212.0,8.77,174525.0,34015.9,38792.0,25212.0,0.144461,0.399225
345,346,4044o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,C,132736.0,7.67,174525.0,178095.0,195928.0,132736.0,0.760556,0.354822
346,347,4044o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,D,0.0,0.00,174525.0,69137.3,0.0,0.0,0.000000,0.000000
347,348,4044o.fits,PG1633+099,B-Johnson+Vacio,2006-04-29,2R,133804.0,9.15,174525.0,159067.0,196937.0,133804.0,0.766675,0.396896
348,349,4045o.fits,PG1633+099,R-Johnson+Vacio,2006-04-29,A,66120.0,7.24,574574.0,96066.2,66120.0,66120.0,0.115077,0.000000
350,351,4045o.fits,PG1633+099,R-Johnson+Vacio,2006-04-29,C,458885.0,6.99,574574.0,552862.0,458885.0,458885.0,0.798653,0.000000
351,352,4045o.fits,PG1633+099,R-Johnson+Vacio,2006-04-29,D,0.0,0.00,574574.0,115833.0,0.0,0.0,0.000000,0.000000
352,353,4045o.fits,PG1633+099,R-Johnson+Vacio,2006-04-29,2R,83039.0,8.61,574574.0,119994.0,83039.0,83039.0,0.144523,0.000000
353,354,4046o.fits,PG1633+099,I-Johnson+Vacio,2006-04-29,A,88369.0,6.33,785808.0,121004.0,88369.0,88369.0,0.112456,0.000000
355,356,4046o.fits,PG1633+099,I-Johnson+Vacio,2006-04-29,C,642727.0,6.29,785808.0,855971.0,642727.0,642727.0,0.817919,0.000000
356,357,4046o.fits,PG1633+099,I-Johnson+Vacio,2006-04-29,D,0.0,0.00,785808.0,96384.8,0.0,0.0,0.000000,0.000000
357,358,4046o.fits,PG1633+099,I-Johnson+Vacio,2006-04-29,2R,61127.0,6.70,785808.0,82699.5,61127.0,61127.0,0.077789,0.000000
358,359,2073o.fits,PG1633,B-Johnson+Vacio,2006-04-25,A,7882.0,3.97,210505.0,31160.9,7882.0,7882.0,0.037443,0.000000
360,361,2073o.fits,PG1633,B-Johnson+Vacio,2006-04-25,C,147433.0,7.37,210505.0,173791.0,147433.0,147433.0,0.700378,0.000000
361,362,2073o.fits,PG1633,B-Johnson+Vacio,2006-04-25,D,196212.0,7.66,210505.0,46516.1,196212.0,196212.0,0.932101,0.000000
362,363,2073o.fits,PG1633,B-Johnson+Vacio,2006-04-25,2R,130038.0,9.27,210505.0,175546.0,130038.0,130038.0,0.617743,0.000000
363,364,2074o.fits,PG1633,R-Johnson+Vacio,2006-04-25,A,71695.0,7.48,679069.0,86487.5,71695.0,71695.0,0.105578,0.000000
365,366,2074o.fits,PG1633,R-Johnson+Vacio,2006-04-25,C,3245.0,6.92,679069.0,548466.0,3245.0,3245.0,0.004779,0.000000
366,367,2074o.fits,PG1633,R-Johnson+Vacio,2006-04-25,D,300316.0,6.91,679069.0,139578.0,300316.0,300316.0,0.442247,0.000000
367,368,2074o.fits,PG1633,R-Johnson+Vacio,2006-04-25,2R,84849.0,7.90,679069.0,107566.0,84849.0,84849.0,0.124949,0.000000
368,369,2075o.fits,PG1633,I-Johnson+Vacio,2006-04-25,A,98940.0,6.95,899815.0,110671.0,98940.0,98940.0,0.109956,0.000000
370,371,2075o.fits,PG1633,I-Johnson+Vacio,2006-04-25,C,741643.0,5.92,899815.0,597461.0,741643.0,741643.0,0.824217,0.000000
371,372,2075o.fits,PG1633,I-Johnson+Vacio,2006-04-25,D,319597.0,5.72,899815.0,160475.0,319597.0,319597.0,0.355181,0.000000
372,373,2075o.fits,PG1633,I-Johnson+Vacio,2006-04-25,2R,60219.0,7.10,899815.0,73247.0,60219.0,60219.0,0.066924,0.000000
373,374,3074o.fits,PG1633,B-Johnson+Vacio,2006-04-26,A,33120.0,11.18,219757.0,31160.9,33120.0,33120.0,0.150712,0.000000
375,376,3074o.fits,PG1633,B-Johnson+Vacio,2006-04-26,C,173203.0,10.80,219757.0,173791.0,173203.0,173203.0,0.788157,0.000000
376,377,3074o.fits,PG1633,B-Johnson+Vacio,2006-04-26,D,175917.0,11.12,219757.0,46516.1,175917.0,175917.0,0.800507,0.000000
377,378,3074o.fits,PG1633,B-Johnson+Vacio,2006-04-26,2R,172923.0,11.23,219757.0,175546.0,172923.0,172923.0,0.786883,0.000000
378,379,3075o.fits,PG1633,R-Johnson+Vacio,2006-04-26,A,117039.0,10.12,836690.0,86487.5,117039.0,117039.0,0.139883,0.000000
379,380,3075o.fits,PG1633,R-Johnson+Vacio,2006-04-26,B,103000.0,9.87,836690.0,650167.0,103000.0,103000.0,0.123104,0.000000
381,382,3075o.fits,PG1633,R-Johnson+Vacio,2006-04-26,D,403258.0,9.66,836690.0,139578.0,403258.0,403258.0,0.481968,0.000000
382,383,3075o.fits,PG1633,R-Johnson+Vacio,2006-04-26,2R,144096.0,10.33,836690.0,107566.0,144096.0,144096.0,0.172221,0.000000
383,384,3076o.fits,PG1633,I-Johnson+Vacio,2006-04-26,A,151888.0,7.33,1337000.0,110671.0,151888.0,151888.0,0.113604,0.000000
385,386,3076o.fits,PG1633,I-Johnson+Vacio,2006-04-26,C,1115000.0,7.18,1337000.0,597461.0,1115000.0,1115000.0,0.833957,0.000000
386,387,3076o.fits,PG1633,I-Johnson+Vacio,2006-04-26,D,347767.0,5.87,1337000.0,160475.0,347767.0,347767.0,0.260110,0.000000
387,388,3076o.fits,PG1633,I-Johnson+Vacio,2006-04-26,2R,100981.0,7.49,1337000.0,73247.0,100981.0,100981.0,0.075528,0.000000
388,389,4058o.fits,PG1633,B-Johnson+Vacio,2006-04-29,A,33810.0,7.40,219656.0,31160.9,33810.0,31126.0,0.153922,0.086134
390,391,4058o.fits,PG1633,B-Johnson+Vacio,2006-04-29,C,167157.0,7.32,219656.0,173791.0,169116.0,167157.0,0.760994,0.011272
391,392,4058o.fits,PG1633,B-Johnson+Vacio,2006-04-29,D,0.0,0.00,219656.0,46516.1,0.0,0.0,0.000000,0.000000
392,393,4058o.fits,PG1633,B-Johnson+Vacio,2006-04-29,2R,176368.0,7.94,219656.0,175546.0,176368.0,170526.0,0.802928,0.033279
393,394,4059o.fits,PG1633,R-Johnson+Vacio,2006-04-29,A,77415.0,6.75,671847.0,86487.5,77415.0,77363.0,0.115227,0.000601
395,396,4059o.fits,PG1633,R-Johnson+Vacio,2006-04-29,C,538167.0,5.88,671847.0,548466.0,544230.0,538167.0,0.801026,0.011054
396,397,4059o.fits,PG1633,R-Johnson+Vacio,2006-04-29,D,0.0,0.00,671847.0,139578.0,0.0,0.0,0.000000,0.000000
397,398,4059o.fits,PG1633,R-Johnson+Vacio,2006-04-29,2R,99481.0,6.96,671847.0,107566.0,99481.0,96724.0,0.148071,0.025631
398,399,4060o.fits,PG1633,I-Johnson+Vacio,2006-04-29,A,105450.0,7.60,889033.0,110671.0,105450.0,103669.0,0.118612,0.016093
400,401,4060o.fits,PG1633,I-Johnson+Vacio,2006-04-29,C,732632.0,6.89,889033.0,597461.0,732632.0,7493.0,0.824077,1.213701
401,402,4060o.fits,PG1633,I-Johnson+Vacio,2006-04-29,D,0.0,0.00,889033.0,160475.0,0.0,0.0,0.000000,0.000000
402,403,4060o.fits,PG1633,I-Johnson+Vacio,2006-04-29,2R,69248.0,7.49,889033.0,73247.0,70224.0,69248.0,0.077891,0.013325
403,404,4077o.fits,PG1633,B-Johnson+Vacio,2006-04-29,A,31126.0,7.00,220361.0,31160.9,33810.0,31126.0,0.141250,0.086134
405,406,4077o.fits,PG1633,B-Johnson+Vacio,2006-04-29,C,169116.0,7.15,220361.0,173791.0,169116.0,167157.0,0.767450,0.011272
406,407,4077o.fits,PG1633,B-Johnson+Vacio,2006-04-29,D,0.0,0.00,220361.0,46516.1,0.0,0.0,0.000000,0.000000
407,408,4077o.fits,PG1633,B-Johnson+Vacio,2006-04-29,2R,170526.0,7.61,220361.0,175546.0,176368.0,170526.0,0.773848,0.033279
408,409,4078o.fits,PG1633,R-Johnson+Vacio,2006-04-29,A,77363.0,6.00,675727.0,86487.5,77415.0,77363.0,0.114489,0.000601
410,411,4078o.fits,PG1633,R-Johnson+Vacio,2006-04-29,C,544230.0,5.22,675727.0,548466.0,544230.0,538167.0,0.805399,0.011054
411,412,4078o.fits,PG1633,R-Johnson+Vacio,2006-04-29,D,0.0,0.00,675727.0,139578.0,0.0,0.0,0.000000,0.000000
412,413,4078o.fits,PG1633,R-Johnson+Vacio,2006-04-29,2R,96724.0,6.18,675727.0,107566.0,99481.0,96724.0,0.143141,0.025631
413,414,4079o.fits,PG1633,I-Johnson+Vacio,2006-04-29,A,103669.0,6.37,908493.0,110671.0,105450.0,103669.0,0.114111,0.016093
415,416,4079o.fits,PG1633,I-Johnson+Vacio,2006-04-29,C,7493.0,5.83,908493.0,597461.0,732632.0,7493.0,0.008248,1.213701
416,417,4079o.fits,PG1633,I-Johnson+Vacio,2006-04-29,D,0.0,0.00,908493.0,160475.0,0.0,0.0,0.000000,0.000000
417,418,4079o.fits,PG1633,I-Johnson+Vacio,2006-04-29,2R,70224.0,6.62,908493.0,73247.0,70224.0,69248.0,0.077297,0.013325
418,419,5038o.fits,PG1633,B-Johnson+Vacio,2006-04-30,A,28147.0,11.50,201478.0,31160.9,50250.0,15955.0,0.139703,1.100578
420,421,5038o.fits,PG1633,B-Johnson+Vacio,2006-04-30,C,149048.0,13.06,201478.0,173791.0,253489.0,77730.0,0.739773,1.011324
421,422,5038o.fits,PG1633,B-Johnson+Vacio,2006-04-30,D,0.0,0.00,201478.0,46516.1,0.0,0.0,0.000000,0.000000
422,423,5038o.fits,PG1633,B-Johnson+Vacio,2006-04-30,2R,152228.0,12.98,201478.0,175546.0,268166.0,78158.0,0.755556,1.082383
423,424,5039o.fits,PG1633,B-Johnson+Vacio,2006-04-30,A,15955.0,9.17,104224.0,31160.9,50250.0,15955.0,0.153084,1.100578
425,426,5039o.fits,PG1633,B-Johnson+Vacio,2006-04-30,C,77730.0,7.79,104224.0,173791.0,253489.0,77730.0,0.745798,1.011324
426,427,5039o.fits,PG1633,B-Johnson+Vacio,2006-04-30,D,0.0,0.00,104224.0,46516.1,0.0,0.0,0.000000,0.000000
427,428,5039o.fits,PG1633,B-Johnson+Vacio,2006-04-30,2R,78158.0,9.28,104224.0,175546.0,268166.0,78158.0,0.749904,1.082383
428,429,5040o.fits,PG1633,R-Johnson+Vacio,2006-04-30,A,40811.0,7.03,361074.0,86487.5,114724.0,40811.0,0.113027,0.854609
430,431,5040o.fits,PG1633,R-Johnson+Vacio,2006-04-30,C,283839.0,6.14,361074.0,548466.0,827083.0,283839.0,0.786096,0.990479
431,432,5040o.fits,PG1633,R-Johnson+Vacio,2006-04-30,D,0.0,0.00,361074.0,139578.0,413050.0,0.0,0.000000,2.959277
432,433,5040o.fits,PG1633,R-Johnson+Vacio,2006-04-30,2R,51498.0,7.14,361074.0,107566.0,143313.0,51498.0,0.142625,0.853569
433,434,5041o.fits,PG1633,I-Johnson+Vacio,2006-04-30,A,57395.0,6.74,500089.0,110671.0,153321.0,57395.0,0.114770,0.866767
435,436,5041o.fits,PG1633,I-Johnson+Vacio,2006-04-30,C,407607.0,5.97,500089.0,597461.0,1107000.0,70851.0,0.815069,1.734254
436,437,5041o.fits,PG1633,I-Johnson+Vacio,2006-04-30,D,0.0,0.00,500089.0,160475.0,455963.0,0.0,0.000000,2.841334
437,438,5041o.fits,PG1633,I-Johnson+Vacio,2006-04-30,2R,39013.0,6.96,500089.0,73247.0,102540.0,39013.0,0.078012,0.867298
438,439,5055o.fits,PG1633,B-Johnson+Vacio,2006-04-30,A,50250.0,9.17,332303.0,31160.9,50250.0,15955.0,0.151217,1.100578
440,441,5055o.fits,PG1633,B-Johnson+Vacio,2006-04-30,C,253489.0,7.84,332303.0,173791.0,253489.0,77730.0,0.762825,1.011324
441,442,5055o.fits,PG1633,B-Johnson+Vacio,2006-04-30,D,0.0,0.00,332303.0,46516.1,0.0,0.0,0.000000,0.000000
442,443,5055o.fits,PG1633,B-Johnson+Vacio,2006-04-30,2R,268166.0,9.26,332303.0,175546.0,268166.0,78158.0,0.806992,1.082383
443,444,5056o.fits,PG1633,R-Johnson+Vacio,2006-04-30,A,78757.0,7.98,687621.0,86487.5,114724.0,40811.0,0.114535,0.854609
445,446,5056o.fits,PG1633,R-Johnson+Vacio,2006-04-30,C,543985.0,7.08,687621.0,548466.0,827083.0,283839.0,0.791112,0.990479
446,447,5056o.fits,PG1633,R-Johnson+Vacio,2006-04-30,D,0.0,0.00,687621.0,139578.0,413050.0,0.0,0.000000,2.959277
447,448,5056o.fits,PG1633,R-Johnson+Vacio,2006-04-30,2R,98648.0,9.11,687621.0,107566.0,143313.0,51498.0,0.143463,0.853569
448,449,5057o.fits,PG1633,I-Johnson+Vacio,2006-04-30,A,104033.0,6.71,899409.0,110671.0,153321.0,57395.0,0.115668,0.866767
450,451,5057o.fits,PG1633,I-Johnson+Vacio,2006-04-30,C,70851.0,5.61,899409.0,597461.0,1107000.0,70851.0,0.078775,1.734254
451,452,5057o.fits,PG1633,I-Johnson+Vacio,2006-04-30,D,0.0,0.00,899409.0,160475.0,455963.0,0.0,0.000000,2.841334
452,453,5057o.fits,PG1633,I-Johnson+Vacio,2006-04-30,2R,70504.0,6.66,899409.0,73247.0,102540.0,39013.0,0.078389,0.867298
453,454,5078o.fits,PG1633,B-Johnson+Vacio,2006-04-30,A,48997.0,9.29,336226.0,31160.9,50250.0,15955.0,0.145726,1.100578
455,456,5078o.fits,PG1633,B-Johnson+Vacio,2006-04-30,C,253155.0,7.63,336226.0,173791.0,253489.0,77730.0,0.752931,1.011324
456,457,5078o.fits,PG1633,B-Johnson+Vacio,2006-04-30,D,0.0,0.00,336226.0,46516.1,0.0,0.0,0.000000,0.000000
457,458,5078o.fits,PG1633,B-Johnson+Vacio,2006-04-30,2R,255958.0,9.52,336226.0,175546.0,268166.0,78158.0,0.761268,1.082383
458,459,5079o.fits,PG1633,R-Johnson+Vacio,2006-04-30,A,114096.0,6.54,1004000.0,86487.5,114724.0,40811.0,0.113641,0.854609
460,461,5079o.fits,PG1633,R-Johnson+Vacio,2006-04-30,C,810485.0,5.78,1004000.0,548466.0,827083.0,283839.0,0.807256,0.990479
461,462,5079o.fits,PG1633,R-Johnson+Vacio,2006-04-30,D,0.0,0.00,1004000.0,139578.0,413050.0,0.0,0.000000,2.959277
462,463,5079o.fits,PG1633,R-Johnson+Vacio,2006-04-30,2R,141920.0,6.46,1004000.0,107566.0,143313.0,51498.0,0.141355,0.853569
463,464,5080o.fits,PG1633,R-Johnson+Vacio,2006-04-30,A,114724.0,7.09,1019000.0,86487.5,114724.0,40811.0,0.112585,0.854609
465,466,5080o.fits,PG1633,R-Johnson+Vacio,2006-04-30,C,827083.0,6.86,1019000.0,548466.0,827083.0,283839.0,0.811661,0.990479
466,467,5080o.fits,PG1633,R-Johnson+Vacio,2006-04-30,D,413050.0,6.87,1019000.0,139578.0,413050.0,0.0,0.405348,2.959277
467,468,5080o.fits,PG1633,R-Johnson+Vacio,2006-04-30,2R,143313.0,7.27,1019000.0,107566.0,143313.0,51498.0,0.140641,0.853569
468,469,5081o.fits,PG1633,I-Johnson+Vacio,2006-04-30,A,153321.0,6.46,1333000.0,110671.0,153321.0,57395.0,0.115020,0.866767
470,471,5081o.fits,PG1633,I-Johnson+Vacio,2006-04-30,C,1107000.0,5.65,1333000.0,597461.0,1107000.0,70851.0,0.830458,1.734254
471,472,5081o.fits,PG1633,I-Johnson+Vacio,2006-04-30,D,455963.0,5.76,1333000.0,160475.0,455963.0,0.0,0.342058,2.841334
472,473,5081o.fits,PG1633,I-Johnson+Vacio,2006-04-30,2R,102540.0,6.94,1333000.0,73247.0,102540.0,39013.0,0.076924,0.867298
